Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
29,2,986,2,3,4,4,2,1,93,2,3,6,3,2,11935,21526,1,2,18,3,3,0,10,2,3,10,2,0,7,No
29,2,408,2,25,5,6,3,2,71,2,1,7,2,2,2546,18300,5,2,16,3,2,0,6,2,4,2,2,1,1,Yes
19,2,489,1,2,2,6,1,1,52,2,1,2,4,1,2564,18437,1,2,12,3,3,0,1,3,4,1,0,0,0,Yes
30,1,1398,3,22,4,5,3,2,69,3,3,8,1,2,8412,2890,0,2,11,3,3,0,10,3,3,9,8,7,8,No
57,2,210,3,29,3,3,1,1,56,2,4,4,4,3,14118,22102,3,2,12,3,3,1,32,3,2,1,0,0,0,No
50,2,1099,2,29,4,2,2,1,88,2,4,4,3,2,17046,9314,0,2,15,3,2,1,28,2,3,27,10,15,7,No
30,1,1116,2,2,3,4,3,2,49,3,1,3,4,1,2564,7181,0,2,14,3,3,0,12,2,2,11,7,6,7,No
60,3,1499,3,28,3,3,3,2,80,2,3,8,1,2,10266,2845,4,2,19,3,4,0,22,5,4,18,13,13,11,No
47,2,983,2,2,2,4,1,2,65,3,2,5,4,3,5070,7389,5,2,13,3,3,3,20,2,3,5,0,0,4,No
46,2,1009,2,2,3,2,1,1,51,3,4,6,3,2,17861,2288,6,2,13,3,3,0,26,2,1,3,2,0,1,No
35,2,144,2,22,3,2,4,1,46,1,1,3,3,1,4230,19225,0,2,15,3,3,0,6,2,3,5,4,4,3,No
54,2,548,2,8,4,2,3,2,42,3,2,3,3,1,3780,23428,7,2,11,3,3,0,19,3,3,1,0,0,0,No
34,2,1303,2,2,4,2,4,1,62,2,1,7,3,3,2768,8416,3,2,12,3,3,1,14,3,3,7,3,5,7,No
46,2,1125,3,10,3,3,3,2,94,2,3,8,4,2,9071,11563,2,1,19,3,3,1,15,3,3,3,2,1,2,No
31,2,1274,2,9,1,2,3,1,33,3,3,5,2,3,10648,14394,1,2,25,4,4,1,13,6,4,13,8,0,8,No
33,2,1277,2,15,1,4,2,1,56,3,3,4,3,2,13610,24619,7,1,12,3,4,0,15,2,4,7,6,7,7,Yes
33,2,587,2,10,1,4,1,1,38,1,1,3,4,3,3408,6705,7,2,13,3,1,3,8,2,3,4,3,1,3,Yes
30,2,413,3,7,1,3,4,1,57,3,1,9,2,1,2983,18398,0,2,14,3,1,0,4,3,3,3,2,1,2,No
35,2,1276,2,16,3,2,4,1,72,3,3,1,3,2,7632,14295,4,1,12,3,3,0,10,2,3,8,7,0,0,No
31,3,534,2,20,3,2,1,1,66,3,3,1,3,2,9824,22908,3,2,12,3,1,0,12,2,3,1,0,0,0,Yes
34,3,988,1,23,3,1,2,2,43,3,3,2,1,3,9950,11533,9,1,15,3,3,3,11,2,3,3,2,0,2,Yes
42,3,1474,2,5,2,5,2,1,97,3,1,3,3,2,2093,9260,4,2,17,3,4,1,8,4,3,2,2,2,0,No
36,1,635,3,10,4,4,2,1,32,3,3,8,4,1,9980,15318,1,2,14,3,4,0,10,3,2,10,3,9,7,No
22,3,1368,2,4,1,6,3,1,99,2,1,3,3,1,3894,9129,5,2,16,3,3,0,4,3,3,2,2,1,2,Yes
48,2,163,3,2,5,3,2,2,37,3,2,8,4,2,4051,19658,2,2,14,3,1,1,14,2,3,9,7,6,7,No
55,2,1117,3,18,5,2,1,2,83,3,4,4,2,1,16835,9873,3,2,23,4,4,0,37,2,3,10,9,7,7,No
41,1,267,3,10,2,2,4,1,56,3,2,8,4,1,6230,13430,7,2,14,3,4,0,16,3,3,14,3,1,10,No
35,2,619,3,1,3,3,2,1,85,3,2,8,3,2,4717,18659,9,2,11,3,3,0,15,2,3,11,9,6,9,No
40,2,302,2,6,3,2,2,2,75,3,4,5,3,1,13237,20364,7,2,15,3,3,0,22,3,3,20,6,5,13,No
39,3,443,2,8,1,2,3,2,48,3,1,3,3,2,3755,17872,1,2,11,3,1,1,8,3,3,8,3,0,7,No
31,2,828,3,2,1,2,2,1,77,3,2,8,4,1,6582,8346,4,1,13,3,3,0,10,2,4,6,5,0,5,No
42,2,319,2,24,3,4,4,1,56,3,3,5,1,2,7406,6950,1,1,21,4,4,1,10,5,2,10,9,5,8,No
45,2,561,3,2,3,5,4,1,61,3,2,8,2,2,4805,16177,0,2,19,3,2,1,9,3,4,8,7,3,7,No
26,3,426,1,17,4,2,2,2,58,3,1,2,3,3,2741,22808,0,1,11,3,2,1,8,2,2,7,7,1,0,Yes
29,2,232,2,19,3,6,4,1,34,3,2,5,4,3,4262,22645,4,2,12,3,2,2,8,2,4,3,2,1,2,No
33,2,922,2,1,5,4,1,2,95,4,4,6,3,3,16184,22578,4,2,19,3,3,1,10,2,3,6,1,0,5,No
31,2,688,3,7,3,2,3,1,44,2,3,4,4,3,11557,25291,9,2,21,4,3,1,10,3,2,5,4,0,1,No
18,3,1306,3,5,3,3,2,1,69,3,1,9,2,1,1878,8059,1,1,14,3,4,0,0,3,3,0,0,0,0,Yes
40,1,1094,3,28,3,5,3,1,58,1,3,8,1,3,10932,11373,3,2,15,3,3,1,20,2,3,1,0,0,1,No
41,1,509,2,2,4,5,1,2,62,2,2,1,3,1,6811,2112,2,1,17,3,1,0,10,3,3,8,7,0,7,No
26,2,775,3,29,2,4,1,1,45,3,2,8,3,3,4306,4267,5,2,12,3,1,2,8,5,3,0,0,0,0,No
35,2,195,3,1,3,4,1,2,80,3,2,8,3,1,4859,6698,1,2,16,3,4,0,5,3,3,5,4,0,3,No
34,2,258,3,21,4,2,4,1,74,4,2,8,4,1,5337,19921,1,2,12,3,4,0,10,3,3,10,7,5,7,No
26,2,471,2,24,3,6,3,1,66,1,1,3,4,1,2340,23213,1,1,18,3,2,0,1,3,1,1,0,0,0,Yes
37,2,799,2,1,3,6,2,2,59,3,3,5,4,1,7491,23848,4,2,17,3,4,0,12,3,4,6,5,1,2,No
46,3,1034,2,18,1,4,1,2,86,3,3,1,3,2,10527,8984,5,2,11,3,4,0,28,3,2,2,2,1,2,No
41,2,1276,3,2,5,2,2,2,91,3,4,4,1,2,16595,5626,7,2,16,3,2,1,22,2,3,18,16,11,8,No
37,1,142,3,9,4,4,1,1,69,3,3,8,2,3,8834,24666,1,2,13,3,4,1,9,6,3,9,5,7,7,No
52,2,956,2,6,2,6,4,1,78,3,2,7,1,3,5577,22087,3,1,12,3,2,2,18,3,3,10,9,6,9,No
32,1,1474,3,11,4,5,4,1,60,4,2,8,3,2,4707,23914,8,2,12,3,4,0,6,2,3,4,2,1,2,Yes
24,3,535,3,24,3,4,4,1,38,3,1,9,4,2,2400,5530,0,2,13,3,3,2,3,3,3,2,2,2,1,No
38,2,1495,2,10,3,4,3,2,76,3,2,1,3,2,9824,22174,3,2,19,3,3,1,18,4,3,1,0,0,0,No
37,2,446,2,1,4,2,2,2,65,3,2,5,2,2,6447,15701,6,2,12,3,2,1,8,2,2,6,5,4,3,No
49,2,1245,2,18,4,2,4,1,58,2,5,6,3,3,19502,2125,1,1,17,3,3,1,31,5,3,31,9,0,9,No
24,2,691,2,23,3,4,2,1,89,4,1,7,4,2,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,No
26,2,703,3,28,2,3,1,1,66,3,2,8,2,2,6272,7428,1,2,20,4,4,2,6,5,4,5,3,1,4,No
24,2,823,2,17,2,5,4,1,94,2,1,3,2,2,2127,9100,1,2,21,4,4,1,1,2,3,1,0,0,0,No
50,3,1246,1,3,3,4,1,1,99,3,5,4,2,2,18200,7999,1,2,11,3,3,1,32,2,3,32,5,10,7,No
25,2,622,3,13,1,4,2,1,40,3,1,9,3,2,2096,26376,1,2,11,3,3,0,7,1,3,7,4,0,6,No
24,3,1287,2,7,3,2,1,2,55,3,1,3,3,2,2886,14168,1,1,16,3,4,1,6,4,3,6,3,1,2,Yes
30,3,448,3,12,4,2,2,1,74,2,1,9,1,2,2033,14470,1,2,18,3,3,1,1,2,4,1,0,0,0,Yes
34,2,254,2,1,2,2,2,1,83,2,1,7,4,2,3622,22794,1,1,13,3,4,1,6,3,3,6,5,1,3,No
31,2,1365,3,13,4,4,2,1,46,3,2,8,1,3,4233,11512,2,2,17,3,3,0,9,2,1,3,1,1,2,Yes
35,2,538,2,25,2,5,1,1,54,2,2,3,4,1,3681,14004,4,2,14,3,4,0,9,3,3,3,2,0,2,No
31,2,525,3,6,4,4,1,1,66,4,2,8,4,3,5460,6219,4,2,22,4,4,2,13,4,4,7,7,5,7,No
27,2,798,2,6,4,4,1,2,66,2,1,7,3,3,2187,5013,0,2,12,3,3,2,6,5,2,5,3,0,3,No
37,2,558,3,2,3,3,4,1,75,3,2,8,3,2,9602,3010,4,1,11,3,3,1,17,3,2,3,0,1,0,No
20,2,959,2,1,3,2,4,2,83,2,1,7,2,1,2836,11757,1,2,13,3,4,0,1,0,4,1,0,0,0,No
42,2,622,2,2,4,2,3,2,81,3,2,1,4,2,4089,5718,1,2,13,3,2,2,10,4,3,10,2,2,2,No
43,2,782,2,6,4,5,2,1,50,2,4,6,4,3,16627,2671,4,1,14,3,3,1,21,3,2,1,0,0,0,No
38,2,362,2,1,1,2,3,2,43,3,1,7,1,1,2619,14561,3,2,17,3,4,0,8,3,2,0,0,0,0,No
43,3,1001,2,9,5,4,4,1,72,3,2,3,3,3,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,No
48,2,1236,2,1,4,2,4,2,40,2,4,4,1,2,15402,17997,7,2,11,3,1,1,21,3,1,3,2,0,2,No
44,2,1112,1,1,4,2,1,2,50,2,2,2,3,1,5985,26894,4,2,11,3,2,0,10,1,4,2,2,0,2,No
34,2,204,3,14,3,6,3,2,31,3,1,9,3,3,2579,2912,1,1,18,3,4,2,8,3,3,8,2,0,6,No
27,2,1420,3,2,1,3,3,1,85,3,1,9,1,3,3041,16346,0,2,11,3,2,1,5,3,3,4,3,0,2,Yes
21,2,1343,3,22,1,6,3,1,49,3,1,9,3,1,3447,24444,1,2,11,3,3,0,3,2,3,3,2,1,2,No
44,2,1315,2,3,4,5,4,1,35,3,5,4,4,2,19513,9358,4,1,12,3,1,1,26,2,4,2,2,0,1,No
22,2,604,2,6,1,4,1,1,69,3,1,7,3,2,2773,12145,0,2,20,4,4,0,3,3,3,2,2,2,2,No
33,2,1216,3,8,4,3,3,1,39,3,2,8,3,3,7104,20431,0,2,12,3,4,0,6,3,3,5,0,1,2,No
32,2,646,2,9,4,2,1,2,92,3,2,7,4,2,6322,18089,1,1,12,3,4,1,6,2,2,6,4,0,5,No
30,3,160,2,3,3,4,3,2,71,3,1,7,3,3,2083,22653,1,2,20,4,3,1,1,2,3,1,0,0,0,No
53,2,238,3,1,1,4,4,2,34,3,2,8,1,1,8381,7507,7,2,20,4,4,0,18,2,4,14,7,8,10,No
34,2,1397,2,1,5,2,2,1,42,3,1,7,4,2,2691,7660,1,2,12,3,4,1,10,4,2,10,9,8,8,No
45,3,306,3,26,4,2,1,2,100,3,2,8,1,2,4286,5630,2,2,14,3,4,2,5,4,3,1,1,0,0,Yes
26,2,991,2,6,3,2,3,2,71,3,1,3,4,2,2659,17759,1,1,13,3,3,1,3,2,3,3,2,0,2,No
37,2,482,2,3,3,5,3,1,36,3,3,5,3,2,9434,9606,1,2,15,3,3,1,10,2,3,10,7,7,8,No
29,2,1176,3,3,2,4,2,2,62,3,2,8,3,2,5561,3487,1,2,14,3,1,1,6,5,2,6,0,1,2,No
35,2,1017,2,6,4,2,2,1,82,1,2,7,4,1,6646,19368,1,2,13,3,2,0,17,3,3,17,11,11,8,No
33,3,1296,2,6,3,2,3,1,30,3,2,1,4,3,7725,5335,3,2,23,4,3,1,15,2,1,13,11,4,7,No
54,2,397,1,19,4,4,3,1,88,3,3,2,2,2,10725,6729,2,2,15,3,3,1,16,1,4,9,7,7,1,No
36,2,913,2,9,2,4,2,1,48,2,2,5,2,3,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2,No
27,2,1115,2,3,4,4,1,1,54,2,1,7,4,1,2045,15174,0,2,13,3,4,0,5,0,3,4,2,1,1,No
20,2,1362,2,10,1,4,4,1,32,3,1,7,3,1,1009,26999,1,1,11,3,4,0,1,5,3,1,0,1,1,Yes
33,3,1076,2,3,3,2,1,1,70,3,1,7,1,1,3348,3164,1,1,11,3,1,0,10,3,3,10,8,9,7,Yes
35,1,727,2,3,3,2,3,1,41,2,1,3,3,2,1281,16900,1,2,18,3,3,2,1,3,3,1,0,0,0,No
23,2,885,2,4,3,4,1,1,58,4,1,7,1,2,2819,8544,2,2,16,3,1,1,5,3,4,3,2,0,2,No
25,2,810,3,8,3,2,4,1,57,4,2,8,2,2,4851,15678,0,2,22,4,3,1,4,4,3,3,2,1,2,No
38,2,243,3,7,4,3,4,2,46,2,2,8,4,1,4028,7791,0,2,20,4,1,0,8,2,3,7,7,0,5,No
29,3,806,2,1,4,2,2,1,76,1,1,7,4,3,2720,18959,1,2,18,3,4,1,10,5,3,10,7,2,8,No
48,2,817,3,2,1,3,2,1,56,4,2,8,2,2,8120,18597,3,2,12,3,4,0,12,3,3,2,2,2,2,No
27,3,1410,3,3,1,4,4,2,71,4,2,8,4,3,4647,16673,1,1,20,4,2,2,6,3,3,6,5,0,4,No
37,2,1225,2,10,2,2,4,1,80,4,1,7,4,1,4680,15232,3,2,17,3,1,0,4,2,3,1,0,0,0,No
50,2,1207,2,28,1,4,4,1,74,4,1,3,3,2,3221,3297,1,1,11,3,3,3,20,3,3,20,8,3,8,No
34,2,1442,2,9,3,4,4,2,46,2,3,1,2,1,8621,17654,1,2,14,3,2,0,9,3,4,8,7,7,7,No
24,2,693,3,3,2,2,1,2,65,3,2,8,3,1,4577,24785,9,2,14,3,1,0,4,3,3,2,2,2,0,Yes
39,2,408,2,2,4,6,4,2,80,2,2,1,3,1,4553,20978,1,2,11,3,1,0,20,4,3,20,7,11,10,No
32,2,929,3,10,3,3,4,1,55,3,2,8,4,1,5396,21703,1,2,12,3,4,0,10,2,2,10,7,0,8,No
50,3,562,3,8,2,6,2,1,50,3,2,8,3,2,6796,23452,3,1,14,3,1,1,18,4,3,4,3,1,3,Yes
38,2,827,2,1,4,2,2,2,33,4,2,1,4,1,7625,19383,0,2,13,3,3,0,10,4,2,9,7,1,8,No
27,2,608,2,1,2,2,3,2,68,3,3,5,1,2,7412,6009,1,2,11,3,4,0,9,3,3,9,7,0,7,No
32,2,1018,2,3,2,2,3,2,39,3,3,6,4,1,11159,19373,3,2,15,3,4,0,10,6,3,7,7,7,7,No
47,2,703,3,14,4,3,4,1,42,3,2,8,1,1,4960,11825,2,2,12,3,4,0,20,2,3,7,7,1,7,No
40,3,580,3,5,4,2,4,1,48,2,3,8,1,2,10475,23772,5,1,21,4,3,1,20,2,3,18,13,1,12,No
53,2,970,2,7,3,2,3,1,59,4,4,6,3,2,14814,13514,3,2,19,3,3,0,32,3,3,5,1,1,3,No
41,2,427,1,10,4,1,2,1,73,2,5,4,4,3,19141,8861,3,2,15,3,2,3,23,2,2,21,6,12,6,No
60,2,1179,3,16,4,3,1,1,84,3,2,8,1,1,5405,11924,8,2,14,3,4,0,10,1,3,2,2,2,2,No
27,3,294,2,10,2,2,4,1,32,3,3,5,1,3,8793,4809,1,2,21,4,3,2,9,4,2,9,7,1,7,No
41,2,314,1,1,3,1,4,1,59,2,5,4,3,2,19189,19562,1,2,12,3,2,1,22,3,3,22,7,2,10,No
50,2,316,3,8,4,3,4,1,54,3,1,9,2,2,3875,9983,7,2,15,3,4,1,4,2,3,2,2,2,2,No
28,2,654,2,1,2,2,1,2,67,1,1,7,2,1,2216,3872,7,1,13,3,4,0,10,4,3,7,7,3,7,Yes
36,1,427,2,8,3,2,1,2,63,4,3,6,1,2,11713,20335,9,2,14,3,1,1,10,2,3,8,7,0,5,No
38,2,168,2,1,3,2,3,2,81,3,3,5,3,1,7861,15397,4,1,14,3,4,0,10,4,4,1,0,0,0,No
44,1,381,2,24,3,4,1,1,49,1,1,3,3,1,3708,2104,2,2,14,3,3,0,9,5,3,5,2,1,4,No
47,3,217,3,3,3,4,4,2,49,3,4,8,3,3,13770,10225,9,1,12,3,4,2,28,2,2,22,2,11,13,No
30,2,501,3,27,5,3,3,1,99,3,2,8,4,3,5304,25275,7,2,23,4,4,1,10,2,2,8,7,7,7,No
29,2,1396,3,10,3,2,3,1,99,3,1,9,3,1,2642,2755,1,2,11,3,3,0,1,6,3,1,0,0,0,No
42,3,933,2,19,3,4,3,1,57,4,1,7,3,3,2759,20366,6,1,12,3,4,0,7,2,3,2,2,2,2,Yes
43,3,775,3,15,3,2,4,1,47,2,2,8,4,2,6804,23683,3,2,18,3,3,1,7,5,3,2,2,2,2,No
34,2,970,2,8,2,4,2,2,96,3,2,1,3,1,6142,7360,3,2,11,3,4,0,10,2,3,5,1,4,3,No
23,2,650,2,9,1,4,2,1,37,3,1,3,1,2,2500,4344,1,2,14,3,4,1,5,2,4,4,3,0,2,No
39,2,141,1,3,3,1,3,2,44,4,2,2,2,2,6389,18767,9,2,15,3,3,1,12,3,1,8,3,3,6,No
56,2,832,2,9,3,4,3,1,81,3,4,1,4,2,11103,20420,7,2,11,3,3,0,30,1,2,10,7,1,1,No
40,2,804,2,2,1,4,4,2,86,2,1,7,4,1,2342,22929,0,1,20,4,4,0,5,2,2,4,2,2,3,No
27,2,975,2,7,3,4,4,2,55,2,2,1,1,1,6811,23398,8,2,19,3,1,0,9,2,1,7,6,0,7,No
29,2,1090,3,10,3,3,4,1,83,3,1,9,2,3,2297,17967,1,2,14,3,4,2,2,2,3,2,2,2,2,No
53,2,346,2,6,3,2,4,1,86,3,2,3,4,1,2450,10919,2,2,17,3,4,0,19,4,3,2,2,2,2,No
35,1,1225,2,2,4,2,4,2,61,3,2,1,1,3,5093,4761,2,2,11,3,1,1,16,2,4,1,0,0,0,No
32,3,430,2,24,4,2,1,1,80,3,2,3,4,2,5309,21146,1,2,15,3,4,2,10,2,3,10,8,4,7,No
38,2,268,2,2,5,4,4,1,92,3,1,7,3,2,3057,20471,6,1,13,3,2,1,6,0,1,1,0,0,1,No
34,2,167,2,8,5,2,2,2,32,3,2,5,1,3,5121,4187,3,2,14,3,3,1,7,3,3,0,0,0,0,No
52,2,621,3,3,4,3,3,1,31,2,4,4,1,2,16856,10084,1,2,11,3,1,0,34,3,4,34,6,1,16,No
33,2,527,2,1,4,5,4,1,63,3,1,7,4,1,2686,5207,1,1,13,3,3,0,10,2,2,10,9,7,8,Yes
25,2,883,3,26,1,4,3,2,32,3,2,8,4,1,6180,22807,1,2,23,4,2,0,6,5,2,6,5,1,4,No
45,2,954,3,2,2,6,2,1,46,1,2,9,3,1,6632,12388,0,2,13,3,1,0,9,3,3,8,7,3,1,No
23,2,310,2,10,1,4,1,1,79,4,1,7,3,1,3505,19630,1,2,18,3,4,0,2,3,3,2,2,0,2,No
47,3,719,3,27,2,2,2,2,77,4,2,8,3,1,6397,10339,4,1,12,3,4,0,8,2,3,5,4,1,3,Yes
34,2,304,3,2,3,5,4,1,60,3,2,8,4,1,6274,18686,1,2,22,4,3,0,6,5,3,6,5,1,4,No
55,2,725,2,2,3,4,4,1,78,3,5,4,1,2,19859,21199,5,1,13,3,4,1,24,2,3,5,2,1,4,Yes
36,1,1434,3,8,4,2,1,1,76,2,3,8,1,1,7587,14229,1,2,15,3,2,0,10,1,3,10,7,0,9,No
52,1,715,2,19,4,4,4,1,41,3,1,7,4,2,4258,26589,0,2,18,3,1,1,5,3,3,4,3,1,2,No
26,3,575,2,1,2,2,1,2,71,1,1,3,4,3,4364,5288,3,2,14,3,1,1,5,2,3,2,2,2,0,No
29,2,657,2,27,3,4,2,2,66,3,2,1,3,2,4335,25549,4,2,12,3,1,1,11,3,2,8,7,1,1,No
26,2,1146,3,8,3,6,4,1,38,2,2,8,1,1,5326,3064,6,2,17,3,3,0,6,2,2,4,3,1,2,Yes
34,2,182,2,1,4,2,2,2,72,4,1,7,4,1,3280,13551,2,2,16,3,3,0,10,2,3,4,2,1,3,No
54,2,376,2,19,4,4,4,2,95,3,2,5,1,3,5485,22670,9,1,11,3,2,2,9,4,3,5,3,1,4,No
27,3,829,3,8,1,3,3,1,84,3,2,8,4,2,4342,24008,0,2,19,3,2,1,5,3,3,4,2,1,1,No
37,2,571,2,10,1,2,4,2,82,3,1,7,1,3,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3,No
38,3,240,2,2,4,2,1,2,75,4,2,5,1,1,5980,26085,6,1,12,3,4,0,17,2,3,15,7,4,12,No
34,2,121,2,2,4,4,3,2,86,2,1,7,1,1,4381,7530,1,2,11,3,3,0,6,3,3,6,5,1,3,No
35,2,384,3,8,4,2,1,2,72,3,1,9,4,2,2572,20317,1,2,16,3,2,1,3,1,2,3,2,0,2,No
30,2,921,2,1,3,2,4,1,38,1,1,3,3,2,3833,24375,3,2,21,4,3,2,7,2,3,2,2,0,2,No
40,3,791,2,2,2,4,3,2,38,4,2,1,2,2,4244,9931,1,2,24,4,4,1,8,2,3,8,7,3,7,No
34,2,1111,3,8,2,2,3,2,93,3,2,8,1,2,6500,13305,5,2,17,3,2,1,6,1,3,3,2,1,2,No
42,3,570,2,8,3,2,2,1,66,3,5,4,4,3,18430,16225,1,2,13,3,2,1,24,4,2,24,7,14,9,No
23,2,1243,2,6,3,2,3,1,63,4,1,3,1,2,1601,3445,1,1,21,4,3,2,1,2,3,0,0,0,0,Yes
24,1,1092,2,9,3,2,3,1,60,2,1,3,2,3,2694,26551,1,2,11,3,3,3,1,4,3,1,0,0,0,No
52,2,1325,2,11,4,2,4,2,82,3,2,3,3,2,3149,21821,8,2,20,4,2,1,9,3,3,5,2,1,4,No
50,2,691,2,2,3,4,3,1,64,3,4,6,3,2,17639,6881,5,2,16,3,4,0,30,3,3,4,3,0,3,No
29,2,805,2,1,2,2,2,2,36,2,1,3,1,2,2319,6689,1,1,11,3,4,1,1,1,3,1,0,0,0,Yes
33,2,213,2,7,3,4,3,1,49,3,3,6,3,2,11691,25995,0,2,11,3,4,0,14,3,4,13,9,3,7,No
33,2,118,3,16,3,3,1,2,69,3,2,8,1,1,5324,26507,5,2,15,3,3,0,6,3,3,3,2,0,2,Yes
47,2,202,2,2,2,5,3,2,33,3,4,4,4,2,16752,12982,1,1,11,3,3,1,26,3,2,26,14,3,0,No
36,2,676,2,1,3,5,3,2,35,3,2,5,2,2,5228,23361,0,2,15,3,1,1,10,2,3,9,7,0,5,No
29,2,1252,2,23,2,2,3,1,81,4,1,7,3,2,2700,23779,1,2,24,4,3,1,10,3,3,10,7,0,7,No
58,2,286,2,2,4,2,4,1,31,3,5,6,2,1,19246,25761,7,1,12,3,4,0,40,2,3,31,15,13,8,Yes
35,2,1258,2,1,4,2,4,2,40,4,1,7,3,1,2506,13301,3,2,13,3,3,0,7,0,3,2,2,2,2,No
42,2,932,2,1,2,2,4,2,43,2,2,5,4,2,6062,4051,9,1,13,3,4,1,8,4,3,4,3,0,2,No
28,2,890,2,2,4,4,3,1,46,3,1,7,3,1,4382,16374,6,2,17,3,4,0,5,3,2,2,2,2,1,Yes
36,2,1041,1,13,3,1,3,1,36,3,1,2,2,2,2143,25527,4,2,13,3,2,1,8,2,3,5,2,0,4,No
32,2,859,2,4,3,2,3,2,98,2,2,5,3,2,6162,19124,1,2,12,3,3,1,14,3,3,14,13,6,8,No
40,3,720,2,16,4,4,1,1,51,2,2,3,3,1,5094,11983,6,2,14,3,4,0,10,6,3,1,0,0,0,No
30,2,946,2,2,3,4,3,2,52,2,2,5,4,1,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,No
45,2,252,2,2,3,2,2,2,95,2,1,7,3,1,2274,6153,1,2,14,3,4,0,1,3,3,1,0,0,0,No
42,2,933,2,29,3,2,2,1,98,3,2,5,2,2,4434,11806,1,2,13,3,4,1,10,3,2,9,8,7,8,No
38,3,471,2,12,3,2,1,1,45,2,2,1,1,3,6288,4284,2,2,15,3,3,1,13,3,2,4,3,1,2,No
34,3,702,2,16,4,2,3,2,100,2,1,7,4,1,2553,8306,1,2,16,3,3,0,6,3,3,5,2,1,3,No
49,2,1184,3,11,3,3,3,2,43,3,3,8,4,2,7654,5860,1,2,18,3,1,2,9,3,4,9,8,7,7,Yes
55,2,436,3,2,1,4,3,1,37,3,2,8,4,1,5160,21519,4,2,16,3,3,0,12,3,2,9,7,7,3,Yes
43,2,589,2,14,2,2,2,1,94,3,4,6,1,2,17159,5200,6,2,24,4,3,1,22,3,3,4,1,1,0,No
27,2,269,2,5,1,6,3,1,42,2,3,6,4,3,12808,8842,1,1,16,3,2,1,9,3,3,9,8,0,8,No
35,2,950,2,7,3,5,3,1,59,3,3,5,3,1,10221,18869,3,2,21,4,2,0,17,3,4,8,5,1,6,No
28,2,760,3,2,4,3,2,2,81,3,2,8,2,2,4779,3698,1,1,20,4,1,0,8,2,3,8,7,7,5,No
34,2,829,1,3,2,1,3,1,88,3,1,2,4,2,3737,2243,0,2,19,3,3,1,4,1,1,3,2,0,2,No
26,3,887,2,5,2,4,3,2,88,2,1,7,3,2,2366,20898,1,1,14,3,1,1,8,2,3,8,7,1,7,Yes
27,1,443,2,3,3,4,4,1,50,3,1,7,4,2,1706,16571,1,2,11,3,3,3,0,6,2,0,0,0,0,No
51,2,1318,3,26,4,3,1,2,66,3,4,4,3,2,16307,5594,2,2,14,3,3,1,29,2,2,20,6,4,17,No
44,2,625,2,4,3,4,4,1,50,3,2,1,2,1,5933,5197,9,2,12,3,4,0,10,2,2,5,2,2,3,No
25,2,180,2,2,1,4,1,1,65,4,1,7,1,1,3424,21632,7,2,13,3,3,0,6,3,2,4,3,0,1,No
33,2,586,3,1,3,4,1,1,48,4,2,8,1,3,4037,21816,1,2,22,4,1,1,9,5,3,9,8,0,8,No
35,2,1343,2,27,1,4,3,2,53,2,1,7,1,1,2559,17852,1,2,11,3,4,0,6,3,2,6,5,1,1,No
36,2,928,3,1,2,2,2,1,56,3,2,8,4,2,6201,2823,1,1,14,3,4,1,18,1,2,18,14,4,11,No
32,2,117,3,13,4,2,2,1,73,3,2,8,4,3,4403,9250,2,2,11,3,3,1,8,3,2,5,2,0,3,No
30,3,1012,2,5,4,2,2,1,75,2,1,7,4,3,3761,2373,9,2,12,3,2,1,10,3,2,5,4,0,3,No
53,2,661,3,7,2,3,1,2,78,2,3,8,4,2,10934,20715,7,1,18,3,4,1,35,3,3,5,2,0,4,No
45,2,930,3,9,3,3,4,1,74,3,3,8,1,3,10761,19239,4,1,12,3,3,1,18,2,3,5,4,0,2,No
32,2,638,2,8,2,4,3,2,91,4,2,7,3,2,5175,22162,5,2,12,3,3,1,9,3,2,5,3,1,3,No
52,3,890,2,25,4,4,3,2,81,2,4,5,4,2,13826,19028,3,2,22,4,3,0,31,3,3,9,8,0,0,No
37,2,342,3,16,4,3,4,1,66,2,2,8,3,3,6334,24558,4,2,19,3,4,2,9,2,3,1,0,0,0,No
28,2,1169,1,8,2,4,2,1,63,2,1,2,4,3,4936,23965,1,2,13,3,4,1,6,6,3,5,1,0,4,No
22,2,1230,2,1,2,2,4,1,33,2,2,5,4,2,4775,19146,6,2,22,4,1,2,4,2,1,2,2,2,2,No
44,2,986,2,8,4,2,1,1,62,4,1,3,4,2,2818,5044,2,1,24,4,3,1,10,2,2,3,2,0,2,No
